trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.5, 'e': 0.34199999999999997}",25,12,11.969049382866833,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.3385}",20,11,13.080416234468753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.33499999999999996}",20,2,-20.61581909268681,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.3315}",20,0,17.486726185629998,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.32799999999999996}",25,8,-25.8825289304194,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.3245}",20,0,-81.307373743187,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
193,False,"{'a': 0.5, 'e': 0.32099999999999995}",25,11,24.67774869575957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.3175}",20,0,9.33260337255892,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.31399999999999995}",25,0,1.7021749653273819,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.3105}",25,6,-59.70132261248165,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
197,False,"{'a': 0.5, 'e': 0.30699999999999994}",20,6,11.507710254560417,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.3035}",20,7,0.5673929666137358,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,33.089570621588585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.2965}",30,6,-17.95927639700451,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 1}",1
201,False,"{'a': 0.5, 'e': 0.29300000000000004}",25,20,8.993345706132677,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.2895}",25,11,-23.985539753552633,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.28600000000000003}",30,19,13.925761080832428,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.2825}",30,14,-69.79372167464383,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
205,False,"{'a': 0.5, 'e': 0.279}",25,14,-19.942305475889718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
